Date,Open,High,Low,Close,Volume
15-07-2020 12:00,9211.81,9245.59,9210.55,9235.77,119.8
15-07-2020 13:00,9236.01,9241.84,9213.52,9225.82,49.72
15-07-2020 14:00,9220.79,9239,9215.21,9238.99,107.22
15-07-2020 15:00,9238.99,9247.27,9188.48,9195.07,342.27
15-07-2020 16:00,9194.77,9209.82,9175.73,9198.92,249.96
15-07-2020 17:00,9200.54,9216.76,9194.68,9195.98,127.5
15-07-2020 18:00,9198.33,9209.9,9153.38,9181.12,205.36
15-07-2020 19:00,9175.17,9187.52,9159.05,9175.83,185.58
15-07-2020 20:00,9175.17,9215.95,9169.08,9215.88,98.43
15-07-2020 21:00,9214.82,9231.9,9197.63,9227.87,76.28
15-07-2020 22:00,9228.22,9230.53,9200,9200,119.47
15-07-2020 23:00,9203.19,9205.9,9181.88,9190.07,142.41
16-07-2020 00:00,9191,9215.19,9171.96,9206.77,83.57
16-07-2020 01:00,9205.07,9217.5,9199.63,9210.63,43.09
16-07-2020 02:00,9212.66,9216.13,9191.54,9191.55,34.96
16-07-2020 03:00,9195.68,9199.6,9185.71,9193.51,24.1
16-07-2020 04:00,9195.44,9208.62,9194.28,9195.02,61.11
16-07-2020 05:00,9195.17,9200.83,9177.89,9194.2,157.24
16-07-2020 06:00,9192.82,9198.56,9133.68,9169.28,238.21
16-07-2020 07:00,9164.35,9166.71,9026.51,9112.53,1346.35
16-07-2020 08:00,9110.79,9125.21,9090.15,9109.87,471.93
16-07-2020 09:00,9106.8,9106.8,9040.25,9054.86,672.96
16-07-2020 10:00,9055.12,9091.11,9028.35,9088.77,316.31
16-07-2020 11:00,9091.31,9095.26,9066.23,9066.42,163.46
16-07-2020 12:00,9068.95,9094.15,9067.39,9069.44,243.76
16-07-2020 13:00,9074.9,9089.78,9059.35,9070.95,190.59
16-07-2020 14:00,9073.55,9114.64,9058.76,9105.28,215.5
16-07-2020 15:00,9105.1,9122.86,9090.57,9111.84,369.61
16-07-2020 16:00,9116,9139,9109.2,9112.77,203.42
16-07-2020 17:00,9114.13,9131.79,9113.24,9125.46,83.64
16-07-2020 18:00,9124.36,9153.83,9116.22,9122.08,115.7
16-07-2020 19:00,9119.07,9128.57,9108.13,9119.12,143.85
16-07-2020 20:00,9119.12,9124.66,9084.65,9102.7,124.78
16-07-2020 21:00,9102.71,9130.83,9102.68,9123.92,97.89
16-07-2020 22:00,9127.83,9144.26,9123.9,9129.98,87.05
16-07-2020 23:00,9134.8,9143.16,9123.62,9132.87,52.78
17-07-2020 00:00,9134.44,9139.3,9111.75,9115.21,69.61
17-07-2020 01:00,9115.21,9136.06,9110.07,9117.02,65.64
17-07-2020 02:00,9116.63,9130.32,9110.56,9122.14,37.26
17-07-2020 03:00,9122.04,9122.84,9104.93,9113.44,41.46
17-07-2020 04:00,9113.46,9120.5,9101,9107.8,142.17
17-07-2020 05:00,9108.91,9115.71,9073.53,9099.35,223.4
17-07-2020 06:00,9097.41,9130.5,9097.33,9114,286.44
17-07-2020 07:00,9114,9126,9095.92,9100.97,239.42
17-07-2020 08:00,9100.91,9107.11,9085.38,9097,280.07
17-07-2020 09:00,9097.18,9117.66,9091.65,9113.72,114.62
17-07-2020 10:00,9113.72,9124.84,9104.11,9116.71,103.55
17-07-2020 11:00,9115.14,9137.23,9097.37,9136.84,237.14
17-07-2020 12:00,9134.3,9184.28,9133.49,9158,274.58
17-07-2020 13:00,9160.1,9172.63,9145,9160.37,93.78
17-07-2020 14:00,9155.09,9161.42,9134.13,9150,127.71
17-07-2020 15:00,9150,9162.61,9139.24,9147.51,93.02
17-07-2020 16:00,9143.62,9164.25,9136.38,9150,98.6
17-07-2020 17:00,9144.58,9156.71,9125.06,9147.19,300.76
17-07-2020 18:00,9152.44,9171.27,9146.16,9163.5,194.24
17-07-2020 19:00,9163.89,9169.82,9153.04,9162.59,102.56
17-07-2020 20:00,9167.3,9182.43,9151.33,9158.71,207.95
17-07-2020 21:00,9158.74,9165.53,9145.98,9146.95,100.47
17-07-2020 22:00,9149.49,9164.86,9143.39,9161.68,114.61
17-07-2020 23:00,9161.68,9170.84,9150.73,9156.5,44.45
18-07-2020 00:00,9150.51,9169.69,9144.77,9155.15,141.74
18-07-2020 01:00,9153.37,9158.92,9139.21,9140.06,44.73
18-07-2020 02:00,9139.35,9146.99,9122.72,9146.05,52.17
18-07-2020 03:00,9142.88,9143.41,9123.67,9139.79,24.71
18-07-2020 04:00,9134.4,9150.09,9129.51,9150.09,38.83
18-07-2020 05:00,9142.06,9147.75,9128.98,9141.89,31.84
18-07-2020 06:00,9136.9,9146.08,9134.04,9141.2,41.04
18-07-2020 07:00,9136.63,9143.25,9135.35,9140.74,97.17
18-07-2020 08:00,9136.99,9160.52,9122.81,9154.28,64.36
18-07-2020 09:00,9157.01,9214.63,9157.01,9165.25,198.45
18-07-2020 10:00,9171.96,9182.78,9166.52,9173.13,29.26
18-07-2020 11:00,9173,9177.46,9162.01,9162.01,28.21
18-07-2020 12:00,9164.61,9178.29,9162.05,9173.27,33.07
18-07-2020 13:00,9169.51,9177.22,9160.84,9172.08,20.58
18-07-2020 14:00,9169.82,9171.7,9157.23,9169.4,35.18
18-07-2020 15:00,9169.81,9180,9165.29,9176.78,149.16
18-07-2020 16:00,9175,9179.8,9163.28,9173.26,50.11
18-07-2020 17:00,9167.75,9179.23,9166.7,9174.68,26.81
18-07-2020 18:00,9172.9,9202,9171.59,9191.11,68.61
18-07-2020 19:00,9188.58,9205.52,9155.47,9164.06,65.37
18-07-2020 20:00,9168.69,9185.92,9160.93,9181.51,39.86
18-07-2020 21:00,9176.91,9181.6,9166.66,9174.96,26.14
18-07-2020 22:00,9174.96,9181.99,9166.12,9167.83,20.96
18-07-2020 23:00,9169.35,9181.9,9169.18,9177.43,29.94
19-07-2020 00:00,9175.7,9187.34,9171.16,9182.39,35.34
19-07-2020 01:00,9177.64,9179.26,9161.1,9170.54,49.24
19-07-2020 02:00,9164.66,9178.61,9155.99,9159.48,52.27
19-07-2020 03:00,9159.48,9162.01,9138.8,9158.32,69.12
19-07-2020 04:00,9152.72,9162.65,9146.87,9156.09,22.85
19-07-2020 05:00,9151.04,9157.62,9141.5,9143.81,109.91
19-07-2020 06:00,9142.44,9160.04,9137.34,9160.04,100.9
19-07-2020 07:00,9159.75,9162.33,9153.41,9159.48,22.1
19-07-2020 08:00,9155.78,9159.5,9146.33,9159.5,34.54
19-07-2020 09:00,9157.63,9161.65,9146.66,9161.65,49.42
19-07-2020 10:00,9159.33,9159.79,9106.3,9127.79,249.97
19-07-2020 11:00,9125.74,9140.52,9111.77,9124.31,83.77
19-07-2020 12:00,9128.95,9141.55,9114.62,9141.03,62.85
19-07-2020 13:00,9134.91,9139.99,9122.58,9133.66,68.96
19-07-2020 14:00,9131.25,9141.93,9124.86,9136.22,15.99
19-07-2020 15:00,9132.2,9140.38,9119.3,9121.08,15.75
19-07-2020 16:00,9125.29,9173.3,9121.05,9152.9,66.54
19-07-2020 17:00,9151.63,9160.96,9137.58,9148.89,36.67
19-07-2020 18:00,9149.05,9163.84,9148.09,9158.39,16.57
19-07-2020 19:00,9162.77,9168,9149,9168,35.38
19-07-2020 20:00,9168,9175.51,9154.92,9171.96,39.5
19-07-2020 21:00,9170.95,9182.21,9161.77,9170.83,37.22
19-07-2020 22:00,9176.66,9202,9163.66,9188.08,136.99
19-07-2020 23:00,9192.12,9243.36,9192.12,9211.99,173.54
20-07-2020 00:00,9213.15,9224.73,9184,9188.59,55.47
20-07-2020 01:00,9191.32,9198.42,9176.86,9181.21,34.19
20-07-2020 02:00,9181.08,9196.06,9175,9185.9,60.49
20-07-2020 03:00,9185.13,9195.59,9180,9189.48,147.5
20-07-2020 04:00,9186.75,9191.24,9175,9176.57,123.42
20-07-2020 05:00,9176.78,9197.79,9176.5,9193.95,43.36
20-07-2020 06:00,9188.76,9194.92,9179.22,9184.79,94.42
20-07-2020 07:00,9183.85,9186.65,9169.98,9183.13,94.4
20-07-2020 08:00,9179.32,9193.51,9177.11,9185.49,54.35
20-07-2020 09:00,9185.49,9193.95,9180.23,9187.92,80.74
20-07-2020 10:00,9185,9189.41,9128.21,9156.22,327.84
20-07-2020 11:00,9156.22,9166.39,9146.23,9152.33,100.31
20-07-2020 12:00,9150,9166.86,9141.76,9165.17,75.86
20-07-2020 13:00,9163.37,9166.22,9143.9,9145.78,178.78
20-07-2020 14:00,9149.36,9183.89,9145.53,9175.08,142.06
20-07-2020 15:00,9169.7,9182.97,9166.76,9175.8,101.18
20-07-2020 16:00,9175.8,9180.77,9164.39,9179.5,80.31
20-07-2020 17:00,9178,9212.59,9177.93,9195.16,285.64
20-07-2020 18:00,9198.33,9205.03,9180.32,9185.14,146.62
20-07-2020 19:00,9185.15,9189.68,9149.98,9158.99,317.88
20-07-2020 20:00,9157.57,9185.57,9150,9169.91,180.55
20-07-2020 21:00,9175.29,9175.9,9146.85,9169.74,147.84
20-07-2020 22:00,9173.83,9177.71,9155,9168.57,96.24
20-07-2020 23:00,9166.13,9178.84,9156.1,9162.43,95.37
21-07-2020 00:00,9161.77,9176.06,9152.23,9170.63,71.98
21-07-2020 01:00,9171.09,9199.51,9171.09,9178.77,136.48
21-07-2020 02:00,9178.98,9187.7,9172.73,9178.77,39.92
21-07-2020 03:00,9175.98,9180.57,9164.03,9176.65,34.79
21-07-2020 04:00,9177.58,9185.64,9172.36,9172.61,37.44
21-07-2020 05:00,9174.26,9210.55,9173.12,9188.21,145.95
21-07-2020 06:00,9192.72,9203.91,9180,9194.45,122.78
21-07-2020 07:00,9196.58,9374.3,9195.52,9316.77,749.89
21-07-2020 08:00,9318.32,9342.85,9305.34,9314.6,256
21-07-2020 09:00,9315.69,9342.94,9310.53,9316.47,188.3
21-07-2020 10:00,9316.02,9360.38,9316,9359.68,211.38
21-07-2020 11:00,9355.47,9362.14,9338,9357.14,311.38
21-07-2020 12:00,9351.6,9418.07,9351.6,9375,737.61
21-07-2020 13:00,9375.99,9442.89,9372.25,9413.69,570.7
21-07-2020 14:00,9414.44,9428.26,9368.97,9379.73,183.53
21-07-2020 15:00,9379.86,9389.99,9331.81,9339.07,449.87
21-07-2020 16:00,9340,9365,9321.16,9364.15,236.61
21-07-2020 17:00,9364.15,9378,9352.57,9367.54,264.71
21-07-2020 18:00,9370.22,9399.63,9365.54,9399.63,298.13
21-07-2020 19:00,9395.95,9402.67,9352.21,9361.06,119.82
21-07-2020 20:00,9361.63,9378.13,9361.63,9375,60.46
21-07-2020 21:00,9375,9390.8,9362.89,9383.85,94.96
21-07-2020 22:00,9388.73,9397.95,9371.52,9388.65,170.62
21-07-2020 23:00,9385.18,9395,9377.07,9391.25,66.17
22-07-2020 00:00,9395.98,9400,9363.74,9363.77,69.79
22-07-2020 01:00,9363.35,9394.67,9360.33,9370.18,88.51
22-07-2020 02:00,9372.27,9385.23,9363.53,9367.81,24.69
22-07-2020 03:00,9370.35,9377.38,9361.8,9363.99,35.56
22-07-2020 04:00,9361.8,9371.43,9350.84,9355.08,79.48
22-07-2020 05:00,9350.03,9359.62,9339.47,9350.46,136.69
22-07-2020 06:00,9348.43,9360.1,9337.55,9337.55,110.91
22-07-2020 07:00,9340.82,9364.89,9280.8,9302.09,355.85
22-07-2020 08:00,9300.25,9330.89,9299.17,9315.32,163.85
22-07-2020 09:00,9315.32,9336.48,9310.74,9321.75,180.82
